"filename", "language", "JavaScript", "JSON", "Markdown", "Properties", "Ignore", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Interactives\Top\Base.js", "JavaScript", 153, 0, 0, 0, 0, 0, 9, 162
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main.js", "JavaScript", 51, 0, 0, 0, 0, 42, 8, 101
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Base.js", "JavaScript", 459, 0, 0, 0, 0, 0, 24, 483
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Full.js", "JavaScript", 479, 0, 0, 0, 0, 2, 18, 499
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\MainScreen.js", "JavaScript", 31, 0, 0, 0, 0, 45, 11, 87
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Screen\Base.js", "JavaScript", 45, 0, 0, 0, 0, 1, 11, 57
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Screen\Controls.js", "JavaScript", 23, 0, 0, 0, 0, 18, 6, 47
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Screen\Controls\Base.js", "JavaScript", 117, 0, 0, 0, 0, 0, 12, 129
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Screen\Controls\Full.js", "JavaScript", 125, 0, 0, 0, 0, 50, 14, 189
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\sections\Main\Screen\Full.js", "JavaScript", 55, 0, 0, 0, 0, 2, 12, 69
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\explorecreators\sections\SearchResults.js", "JavaScript", 31, 0, 0, 0, 0, 2, 9, 42
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\explorecreators\sections\SearchResults\Creator.js", "JavaScript", 81, 0, 0, 0, 0, 2, 13, 96
